order_id,order_date,region,channel,category,product,unit_price,quantity,discount_rate,revenue
1,2024-02-02,West,Store,Home,Chair,212.24,4,0.02,832.96
2,2024-07-11,West,Store,Beauty,Makeup,47.15,4,0.09,171.62
3,2024-07-02,South,Online,Grocery,Spices,248.6,3,0.09,679.66
4,2024-06-13,North,Online,Home,Cookware,250.01,1,0.13,218.43
5,2024-03-01,West,Store,Fashion,T-Shirt,269.01,4,0.16,908.51
6,2024-10-05,North,Online,Home,Chair,54.74,1,0.14,47.27
7,2024-12-03,East,Online,Grocery,Beverages,117.43,2,0.09,212.81
8,2024-10-18,North,Online,Electronics,Laptop,75.8,2,0.13,131.3
9,2024-12-10,South,Online,Grocery,Cereal,100.59,3,0.17,251.53
10,2024-06-08,West,Store,Fashion,Jacket,207.92,2,0.03,404.22
11,2024-10-31,North,Store,Electronics,Speaker,202.81,4,0.14,696.82
12,2024-04-11,West,Store,Home,Table,50.54,3,0.02,148.15
13,2024-06-09,East,Store,Home,Cookware,231.85,3,0.13,607.25
14,2024-07-25,East,Online,Home,Cookware,18.94,2,0.09,34.57
15,2024-12-25,North,Online,Home,Cookware,77.84,4,0.01,307.74
16,2024-11-09,South,Store,Fashion,Jeans,171.54,3,0.16,433.94
17,2024-12-30,East,Online,Home,Chair,58.42,4,0.0,232.63
18,2024-02-08,North,Store,Beauty,Makeup,56.77,2,0.1,102.16
19,2024-12-09,North,Online,Beauty,Perfume,120.5,2,0.06,226.46
20,2024-09-07,East,Store,Fashion,Jacket,44.22,1,0.19,35.71
21,2024-05-14,West,Online,Beauty,Perfume,291.06,2,0.16,491.46
22,2024-04-05,East,Store,Home,Table,37.95,2,0.18,62.2
23,2024-02-16,South,Store,Fashion,Shoes,177.97,2,0.04,343.36
24,2024-06-18,West,Online,Beauty,Perfume,135.31,3,0.13,354.99
25,2024-02-21,East,Online,Beauty,Makeup,130.58,1,0.01,129.5
26,2024-03-06,South,Online,Fashion,Shoes,39.99,1,0.12,35.29
27,2024-10-17,North,Online,Grocery,Spices,110.59,3,0.12,292.57
28,2024-04-17,North,Online,Grocery,Beverages,236.99,2,0.02,466.14
29,2024-04-10,South,Store,Home,Chair,175.8,4,0.09,636.61
30,2024-10-22,South,Store,Fashion,Shoes,137.28,3,0.0,410.07
31,2024-05-13,West,Online,Grocery,Cereal,170.67,1,0.02,166.96
32,2024-08-31,East,Online,Fashion,T-Shirt,220.83,3,0.15,560.64
33,2024-04-27,North,Store,Grocery,Spices,20.85,1,0.11,18.54
34,2024-07-19,South,Online,Grocery,Beverages,101.97,4,0.19,330.15
35,2024-08-20,South,Store,Home,Cookware,281.45,2,0.03,544.37
